"Work center","Cycle 1  
 Sample (crude)","Cycle 2  
 Sample (crude)","Cycle 3  
 Sample (crude)","Cycle 4  
 Sample (crude)","Cycle 1 Sample (weighted)","Cycle 2 Sample (weighted)","Cycle 3 Sample (weighted)","Cycle 4 Sample (weighted)"
"Total","965","1,195","760","1,011","10,419","9,358","10,966","11,602"
"Distribution center","107","137","71","40","231","172","262","317"
"Sales center","578","700","471","643","7,017","6,312","7,414","7,760"
"Production plant","280","358","218","328","3,171","2,874","3,290","3,525"
