"Work center","Cycle 1  
 Sample (crude)","Cycle 2  
 Sample (crude)","Cycle 3  
 Sample (crude)","Cycle 4  
 Sample (crude)","Cycle 1 Sample (weighted)","Cycle 2 Sample (weighted)","Cycle 3 Sample (weighted)","Cycle 4 Sample (weighted)"
"Total","575","456","893","637","10,419","9,358","10,966","11,602"
"Distribution center","58","0","74","1","231","0","262","317"
"Sales center","324","392","571","498","7,017","6,312","7,414","7,760"
"Production plant","193","64","248","138","3,171","2,874","3,290","3,525"
