"Work center","Cycle 1  
 Sample (crude)","Cycle 2  
 Sample (crude)","Cycle 3  
 Sample (crude)","Cycle 4  
 Sample (crude)","Cycle 1 Sample (weighted)","Cycle 2 Sample (weighted)","Cycle 3 Sample (weighted)","Cycle 4 Sample (weighted)"
"Total","1,540","1,651","1,653","1,648","10,419","9,358","10,966","11,602"
"Distribution center","165","137","145","41","231","172","262","317"
"Sales center","902","1,092","1,042","1,141","7,017","6,312","7,414","7,760"
"Production plant","473","422","466","466","3,171","2,874","3,290","3,525"
