"CI","CI_low","CI_high","median","Ciclo","Vaccines"
0.95,0.9892,0.9996,0.9955,4,"Astrazeneca"
0.95,0.3435,0.9687,0.6691,4,"Cansino"
0.95,0.2298,0.9334,0.5653,4,"Janssen"
0.95,0.8308,0.9951,0.9394,4,"Moderna"
0.95,0.6417,0.9443,0.7972,4,"No"
0.95,0.901,0.9929,0.9564,4,"Pfizer"
0.95,0.9304,0.9963,0.9691,4,"Sinovac"
0.95,0.9686,0.9985,0.98740000000000006,4,"Sputnik v"
0.95,0.9604,0.9959,0.9809,4,"Unspecified"
