"variable","CI_95%_low","Estimacion_puntual","CI_95%_high","Ciclo"
"Media de edad",37.001560000000005,37.55525,38.1074025,"1"
"Media de edad",37.292275000000004,37.85165,38.401797499999994,"2"
"Media de edad",37.9232975,38.5661,39.2018025,"3"
"Media de edad",39.316945,39.8551,40.434257499999994,"4"
