"CI","CI_low","CI_high","median","Ciclo","Vaccines"
0.95,0.491,0.559,1,4,"Astrazeneca"
0.95,0.0015,0.0109,0,4,"Cansino"
0.95,7e-4,0.0079,0,4,"Janssen"
0.95,0.0151,0.0358,0,4,"Moderna"
0.95,0.0091,0.027,0,4,"No"
0.95,0.0271,0.0525,0,4,"Pfizer"
0.95,0.0478,0.0795,0,4,"Sinovac"
0.95,0.1582,0.2115,0,4,"Sputnik v"
0.95,0.1116,0.1563,0,4,"Unspecified"
