"variable","CI","CI_low","CI_high","median","semana"
"proportion_week[104]",0.95,13.5109,36.5774,24.5806,104
"proportion_week[105]",0.95,30.4148,64.95,46.3276,105
"proportion_week[106]",0.95,84.314,139.4146,108.7091,106
"proportion_week[107]",0.95,251.8554,329.2313,288.7119,107
"proportion_week[108]",0.95,436.6447,551.4208,495.5815,108
"proportion_week[109]",0.95,243.6309,320.0287,282.0558,109
"proportion_week[110]",0.95,113.7884,170.4873,142.7,110
"proportion_week[111]",0.95,51.2861,96.2757,74.6988,111
"proportion_week[112]",0.95,18.7571,47.9054,31.9702,112
"proportion_week[113]",0.95,11.9552,35.1063,22.4712,113
"proportion_week[114]",0.95,14.1477,39.6906,24.7306,114
"proportion_week[115]",0.95,11.2844,33.4156,21.2838,115
"proportion_week[116]",0.95,11.689,33.7041,21.4776,116
"proportion_week[117]",0.95,9.2789,30.9409,19.0964,117
"proportion_week[118]",0.95,11.3825,35.5802,22.746,118
