"CI","CI_low","CI_high","median","Ciclo","Vaccines"
0.95,0.9848,0.9995,1,4,"Astrazeneca"
0.95,0.2507,0.9336,1,4,"Cansino"
0.95,0.1216,0.8893,1,4,"Janssen"
0.95,0.7239,0.9883,1,4,"Moderna"
0.95,0.6214,0.9497,1,4,"No"
0.95,0.8333,0.9909,1,4,"Pfizer"
0.95,0.8598,0.9951,1,4,"Sinovac"
0.95,0.9579,0.9988,1,4,"Sputnik v"
0.95,0.9292,0.9939,1,4,"Unspecified"
