"CI","CI_low","CI_high","median","Ciclo","Vaccines"
0.95,0.4352,0.5181,0,4,"Astrazeneca"
0.95,0.0013,0.0156,0,4,"Cansino"
0.95,0.0028,0.0203,0,4,"Janssen"
0.95,0.0153,0.0412,0,4,"Moderna"
0.95,0.0075,0.029,0,4,"No"
0.95,0.0356,0.0739,0,4,"Pfizer"
0.95,0.0666,0.1136,0,4,"Sinovac"
0.95,0.1179,0.1795,0,4,"Sputnik v"
0.95,0.1368,0.1943,0,4,"Unspecified"
