"CI","CI_low","CI_high","median","Ciclo","Vaccines"
0.95,0.958,0.9966,1,4,"Astrazeneca"
0.95,0.2307,0.9173,1,4,"Cansino"
0.95,0.2159,0.9405,1,4,"Janssen"
0.95,0.6601,0.9814,1,4,"Moderna"
0.95,0.401,0.9147,1,4,"No"
0.95,0.7903,0.9882,1,4,"Pfizer"
0.95,0.88,0.9913,1,4,"Sinovac"
0.95,0.9104,0.9934,1,4,"Sputnik v"
0.95,0.8969,0.9953,1,4,"Unspecified"
