"variable","CI_95%_low","Estimacion_puntual","CI_95%_high","Ciclo"
"Media de edad",37.627625,38.304199999999994,39.003935,"1"
"Media de edad",37.74816,38.570949999999996,39.35389,"2"
"Media de edad",38.2056325,38.8625,39.482767499999994,"3"
"Media de edad",39.25279,39.960049999999995,40.61784,"4"
